# Large-Scale Environmental Covariates used in Chinook Forecasting by the Chinook Technical Committee (CTC) of the Pacific Salmon Commission,,,,,,,,,,,,
# CTC has an annual process to compile a covariate data set. This combines variables derived from public raw data and variables contributed by different agencies (DFO and NOAA),,,,,,,,,,,,
# To get the latest official version of these data: contact the CTC chairs via https://www.psc.org/membership-lists/,,,,,,,,,,,,
# Alternatively you can use the code in the covariates_forecastr repository to generate the data set (https://github.com/nembrown/covariates_forecastr),,,,,,,,,,,,
# THIS VERSION: ,,,,,,,,,,,,
# - Extracted from data file provided by CTC July 2024,,,,,,,,,,,,
# - Includes only large-scale covariates that match the same values to all stocks ,,,,,,,,,,,,
# - Excludes large-scale covariates that are taken from the NOAA ocean conditions index (https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon/tree/main/DATA/NOAA_OceanConditionsIndex),,,,,,,,,,,,
# - Years are calendar years so need to be matched to stock-specific spawner-recruit data based on life history and assumed mechanism (e.g. ONI matched to brood year),,,,,,,,,,,,
# NOTE: some of these covariates are calculated from monthly indices extracted from the pacea package (https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon/tree/main/DATA/DFO_PACEA_Package),,,,,,,,,,,,
# Data descriptions and references at  https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon/tree/main/DATA/PSC_Chinook_Forecasting,,,,,,,,,,,,
Year,CTC_ONI_AnnualMean,CTC_ONI_AnnualAnomaly,CTC_ONI_SummerMean,CTC_ONI_SummerAnomaly,CTC_SOI_SummerMean,CTC_SOI_AnnualMean,CTC_PDO_SummerMean,CTC_PDO_AnnualMean,CTC_NPGO_AnnualMean,CTC_NPGO_SummerMean,CTC_EPNP_AnnualMean,CTC_EPNP_SummerMean
1970,26.42833333,-0.32,26.35,-0.563333333,0.406,0.289166667,-1.08,-0.404166667,0.061043154,0.38518747,-0.164545455,-0.41
1971,25.8625,-0.94,26.19,-0.77,0.838,1.0725,-1.27,-1.315833333,0.381984271,0.601138358,-0.252727273,0.432
1972,27.73083333,0.9275,28.1,1.14,-1.528,-0.829166667,-1.158,-1.144166667,-0.659303726,-0.5645368,0.019090909,0.448
1973,26.185,-0.6175,25.87,-1.086666667,0.91,0.64,-1.408,-1.136666667,0.126585564,0.31496085,-0.505454545,-0.696
1974,25.9175,-0.886666667,26.4,-0.556666667,0.866,0.959166667,-0.126,-0.3025,-0.009310217,0.172791313,-0.202727273,0.24
1975,25.75,-1.0525,25.85333333,-1.103333333,1.702,1.328333333,-1.538,-1.411666667,0.798500537,0.67766515,-0.575454545,-0.18
1976,26.76,-0.049166667,27.13666667,0.16,-0.73,0.058333333,-0.132,-0.149166667,1.86321135,2.2378224,0.095454545,-0.018
1977,27.32166667,0.511666667,27.34666667,0.37,-1.466,-1.135,-0.246,0.045,1.249270341,1.07932902,-0.264545455,-0.166
1978,26.71083333,-0.098333333,26.62,-0.356666667,0.522,-0.2875,-0.442,0.071666667,0.504466636,0.565176358,0.855454545,0.452
1979,27.0625,0.250833333,27.06,0.086666667,-0.06,-0.263333333,0.404,0.1075,-0.737188575,-1.000940985,0.548181818,0.162
1980,27.06833333,0.253333333,27.22333333,0.246666667,-0.354,-0.4325,-0.068,0.308333333,-0.749107276,-0.741777773,0.272727273,0.164
1981,26.64583333,-0.268333333,26.78,-0.28,0.778,0.070833333,0.862,0.838333333,-0.221840562,-0.253827769,-0.150909091,-0.196
