Year,MEIv2MeanDecToFeb,MEIv2MeanMarToMay,MEIv2MeanJunToAug,MEIv2MeanSepToNov
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1952,NA,NA,NA,NA
1953,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,NA,NA,NA,NA
1967,NA,NA,NA,NA
1968,NA,NA,NA,NA
1969,NA,NA,NA,NA
1970,NA,NA,NA,NA
1971,NA,NA,NA,NA
1972,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,0.365,0.235,0.15,0.38
1980,0.27,0.57,0.385,0.03
1981,-0.285,0.065,-0.41,-0.16
1982,-0.43,-0.185,1.905,2.105
1983,2.655,2.84,0.32,-0.43
1984,-0.51,-0.195,-0.23,-0.365
1985,-0.415,-0.99,-0.195,-0.02
1986,-0.33,-0.355,0.805,0.61
1987,1.03,1.785,1.7,0.99
1988,0.45,-0.185,-1.78,-1.575
1989,-1.075,-1.065,-0.925,-0.445
1990,0.27,0.1,0.115,0.035
1991,0.12,0.28,0.65,1.13
1992,1.645,1.835,0.42,0.77
1993,0.88,1.23,0.76,0.825
1994,-0.075,0.015,0.86,1.23
1995,0.625,0.17,-0.45,-0.66
1996,-0.82,-0.76,-0.68,-0.305
1997,-0.69,0.43,2.155,2.035
1998,2.33,2.405,-1.585,-1.255
1999,-1.22,-1.26,-1.125,-1.32
2000,-1.265,-0.95,-0.33,-0.73
2001,-0.845,-0.595,0.165,-0.285
2002,-0.095,-0.23,0.695,0.775
2003,0.71,-0.325,0.01,0.275
2004,0.06,-0.335,0.585,0.425
2005,0.34,0.155,-0.015,-0.73
2006,-0.59,-0.635,0.335,0.79
2007,0.505,-0.4,-0.855,-1.13
2008,-1.175,-1.055,-0.975,-1.08
2009,-0.92,-0.765,0.505,0.805
2010,1.11,0.16,-2.415,-2.105
2011,-1.73,-1.51,-0.87,-1.29
2012,-0.875,-0.395,0.12,-0.145
2013,-0.06,-0.535,-0.675,-0.165
2014,-0.47,-0.17,0.23,0.2
2015,0.14,0.655,1.815,1.995
2016,1.88,1.3,-0.395,-0.56
2017,-0.405,-0.02,-0.735,-0.63
2018,-0.735,-1.105,0.1,0.335
2019,0.305,0.29,0.265,0.36
2020,0.295,-0.17,-1.005,-1.18
2021,-1.075,-1.015,-1.44,-1.44
2022,-0.995,-1.645,-2,-1.645
2023,-1.01,-0.21,0.44,0.6
