YEAR,Month,EntrIslSST,PineIslSST,DeptBaySST
1914,APR,NA,NA,NA
1914,MAY,NA,NA,NA
1914,JUN,NA,NA,NA
1915,APR,10.51,NA,10.51
1915,MAY,12.46,NA,12.46
1915,JUN,15.06,NA,15.06
1916,APR,7.54,NA,7.54
1916,MAY,11.05,NA,11.05
1916,JUN,13.82,NA,13.82
1917,APR,6.98,NA,6.98
1917,MAY,10.68,NA,10.68
1917,JUN,13.69,NA,13.69
1918,APR,7.98,NA,7.98
1918,MAY,11.62,NA,11.62
1918,JUN,14.3,NA,14.3
1919,APR,8.81,NA,8.81
1919,MAY,11.45,NA,11.45
1919,JUN,14.12,NA,14.12
1920,APR,9.07,NA,9.07
1920,MAY,11.58,NA,11.58
1920,JUN,14.74,NA,14.74
1921,APR,9.07,NA,9.07
1921,MAY,12.5,NA,12.5
1921,JUN,14.8,NA,14.8
1922,APR,8.27,NA,8.27
1922,MAY,11.1,NA,11.1
1922,JUN,15.6,NA,15.6
1923,APR,9.07,NA,9.07
1923,MAY,11.54,NA,11.54
1923,JUN,15.68,NA,15.68
1924,APR,9.18,NA,9.18
1924,MAY,11,NA,11
1924,JUN,14.97,NA,14.97
1925,APR,9.68,NA,9.68
1925,MAY,12.05,NA,12.05
1925,JUN,17.83,NA,17.83
1926,APR,11.63,NA,11.63
1926,MAY,12.22,NA,12.22
1926,JUN,15.86,NA,15.86
1927,APR,8.65,NA,8.65
1927,MAY,11.17,NA,11.17
1927,JUN,15.51,NA,15.51
1928,APR,9.15,NA,9.15
1928,MAY,12.3,NA,12.3
1928,JUN,15.5,NA,15.5
1929,APR,9.33,NA,9.33
1929,MAY,NA,NA,NA
1929,JUN,14.62,NA,14.62
1930,APR,9.97,NA,9.97
1930,MAY,11.9,NA,11.9
1930,JUN,14.02,NA,14.02
1931,APR,10.9,NA,10.9
1931,MAY,14.37,NA,14.37
1931,JUN,16.05,NA,16.05
1932,APR,9.36,NA,9.36
1932,MAY,13.17,NA,13.17
1932,JUN,16.45,NA,16.45
1933,APR,NA,NA,NA
1933,MAY,NA,NA,NA
1933,JUN,NA,NA,NA
1934,APR,NA,NA,NA
1934,MAY,NA,NA,NA
1934,JUN,17.53,NA,17.53
1935,APR,8.78,NA,8.78
1935,MAY,12.7,NA,12.7
1935,JUN,15.93,NA,15.93
1936,APR,9.36,NA,9.36
1936,MAY,14.09,NA,12.54
1936,JUN,15.7,NA,17.02
1937,APR,8.6,7.73,8.19
1937,MAY,10.84,8.62,11.02
1937,JUN,13.06,9.28,15.38
1938,APR,8.73,6.76,10.53
1938,MAY,12.12,7.53,12.94
1938,JUN,15.9,8.47,16.85
1939,APR,7.74,7.21,10.46
1939,MAY,12.11,8.05,13.36
1939,JUN,13.14,9.02,15.58
1940,APR,10.38,9.12,10.82
1940,MAY,12.88,9.53,14.64
1940,JUN,15.21,9.93,16.83
1941,APR,10.15,9.51,11.22
1941,MAY,11.88,9.78,13.31
1941,JUN,14.64,10.23,16.19
1942,APR,9.46,8.55,10.38
1942,MAY,12.18,9.26,13.04
1942,JUN,15,9.95,15.63
1943,APR,8.81,8.01,9.43
1943,MAY,11.94,8.69,12.24
1943,JUN,14.51,9.35,15.13
1944,APR,9.01,8.05,9.57
1944,MAY,11.84,8.7,12.63
1944,JUN,14.3,9.57,15.15
1945,APR,8.71,7.83,8.97
1945,MAY,12.39,8.66,12.84
1945,JUN,15.18,9.39,15.7
1946,APR,8.42,7.43,9.07
1946,MAY,12.72,8.53,13.36
1946,JUN,15.14,9.27,15.35
1947,APR,9.29,7.87,9.81
1947,MAY,12.1,8.47,12.61
1947,JUN,14.91,9.63,15.5
1948,APR,8.29,7.65,8.82
1948,MAY,10.71,8.77,11.58
1948,JUN,16.21,9.65,16.8
1949,APR,8.52,7.38,8.93
1949,MAY,12.21,8.49,12.78
1949,JUN,14.72,9.17,15.2
1950,APR,7.79,6.74,8.03
1950,MAY,10.61,7.28,11.05
1950,JUN,14.5,8.62,15.03
1951,APR,9.12,7.24,9.46
1951,MAY,12.37,8.16,12.4
1951,JUN,14.51,8.95,15.18
1952,APR,8.41,7.11,8.72
1952,MAY,11.38,8.03,12.27
1952,JUN,13.46,8.61,14.46
1953,APR,9.12,7.59,9.17
1953,MAY,12.19,8.48,12.56
1953,JUN,14.36,9.14,14.53
1954,APR,8.38,7.5,8.37
1954,MAY,12.31,8.31,12.16
1954,JUN,13.2,8.79,13.69
1955,APR,8.55,7.16,8.65
1955,MAY,10.63,7.87,11.23
1955,JUN,13.01,8.67,13.97
1956,APR,9.23,6.82,9.78
1956,MAY,13.1,7.89,13.65
1956,JUN,12.86,8.52,13.48
1957,APR,8.95,7.2,9.53
