Year,PDOSumDecToMarch,PDOSumMayToSep,ONIAvgJanToJun,SST7BuoysMeanMayToSep,Upper20mTempAvgNovToMar,Upper20mTempAvgMayToSep,DeepTempAvgMayToSep,DeepSalinityAvgMayToSept,CopeRichAnom,NthCopeMassAnom,SthCopeMassAnom,BiolTransition,NearIplanktonJantoMar,NearOffIplanktonCommIdxJanToMar,CkJuvCtJune,CoJuvCtJune,Rank.PDOSumDecToMarch,Rank.PDOSumMayToSep,Rank.ONIAvgJanToJun,Rank.SST7BuoysMeanMayToSep,Rank.Upper20mTempAvgNovToMar,Rank.Upper20mTempAvgMayToSep,Rank.DeepTempAvgMayToSep,Rank.DeepSalinityAvgMayToSept,Rank.CopeRichAnom,Rank.NthCopeMassAnom,Rank.SthCopeMassAnom,Rank.BiolTransition,Rank.NearIplanktonJantoMar,Rank.NearOffIplanktonCommIdxJanToMar,Rank.CkJuvCtJune,Rank.CoJuvCtJune,MeanRank.ClimateAtmos,MeanRank.RegPhys,MeanRank.AllPhys,MeanRank.Bio,MeanRank.All,RankOfMeanRank
1998,5.07,-0.8,1.116666667,13.76867308,12.2959039,10.40357818,8.613591782,33.53637155,4.177559524,-0.769440796,0.577627975,NA,0.478401872,-9.9957,0.093825728,0.076816018,23,14,25,21,25,18,25,25,24,24,26,24,21,11,23,24,20.67,22.8,22,22.12,22.06,26
1999,-1.75,-6.79,-1.066666667,13.20417683,10.30529062,10.06769873,7.627874994,33.85741997,-2.939107143,0.03115176,-0.252901803,134,1.638872268,-22.022,0.286233844,0.28379575,9,5,1,7,14,12,7,4,3,19,2,14,4,6,2,13,5,8.8,7.38,7.88,7.62,5
2000,-4.17,-3.64,-1.066666667,13.32789769,10.12394128,10.15571187,7.741633336,33.7818395,-3.769107143,0.136526871,-0.228967655,102,0.966384065,-29.857,0.224826285,0.237041608,5,11,1,9,11,14,10,12,1,14,7,10,14,4,7,21,5.67,11.2,9.12,9.75,9.44,8
2001,1.86,-4.58,-0.4,12.97676974,10.22219663,9.764306758,7.557718356,33.85520331,-1.389107143,0.135146427,-0.236869618,101,1.268846652,-15.695,0.121911142,0.435876145,17,8,9,5,13,5,5,5,11,15,4,9,8,8,20,5,11.33,6.6,8.38,10,9.19,7
2002,-1.73,-0.94,0.183333333,13.04661182,10.07917918,8.97108534,7.462423293,33.85120977,-1.48077381,0.273191149,-0.252547025,120,1.948214738,-14.748,0.232924556,0.416773386,10,13,17,6,8,1,1,7,10,6,3,12,1,10,6,7,13.33,4.6,7.88,6.88,7.38,3
2003,7.45,2.54,0.266666667,13.56115291,10.72675073,9.621274284,7.809176739,33.68387006,1.627559524,-0.143847462,0.06746279,156,0.399069565,-2.5507,0.203889901,0.427616359,25,23,19,13,19,3,12,21,19,21,18,19,25,13,10,6,22.33,13.6,16.88,16.38,16.62,19
2004,1.85,1.18,0.2,14.67848545,10.86371172,11.316467,7.881248824,33.6637949,1.060892857,0.042211427,0.181840567,146,0.318455662,18.045,0.148782189,0.215660231,16,18,18,26,20,26,15,22,18,18,20,15,26,20,18,23,17.33,21.8,20.12,19.75,19.94,21.5
2005,2.44,1.93,0.466666667,13.58226399,10.59440829,10.72929709,7.969121695,33.77227351,4.027559524,-0.857713573,0.524470567,238,0.488942277,32.976,0.058986013,0.074288827,21,21,21,14,16,21,17,13,23,25,25,23,20,24,25,25,21,16.2,18,23.75,20.88,23
2006,1.94,0.64,-0.3,12.72942277,10.60946295,9.972286334,7.833391104,33.84802322,2.320892857,-0.020604907,0.049502642,150,1.155635519,-35.847,0.166236072,0.254735149,18,17,10,2,17,10,13,8,20,20,17,18,11,1,14,19,15,10,11.88,15,13.44,14
2007,-0.17,1.63,0.083333333,13.64097859,10.03768906,10.06684928,7.57536466,33.87874667,-0.989107143,0.124345871,-0.093146655,89,0.477482173,7.7237,0.178550709,0.467910285,13,19,15,17,7,11,6,2,14,16,14,5,22,16,12,2,15.67,8.6,11.25,12.62,11.94,13
