# Merged set of all available records in the PSECrepository
# Variable descriptions and source data available at https://github.com/SOLV-Code/Open-Source-Env-Cov-PacSalmon
# File generated on Wed May 22 22:00:13 2024
Year,PDOMeanNovToMar,EntrIslSSTMeanAprToJun,PineIslSSTMeanAprToJun,SSSIndexJulToAug,SSSIndexJulToSep,PDOSumDecToMarch,PDOSumMayToSep,ONIAvgJanToJun,SST7BuoysMeanMayToSep,Upper20mTempAvgNovToMar,Upper20mTempAvgMayToSep,DeepTempAvgMayToSep,DeepSalinityAvgMayToSept,NOAAOceanCondIdx,ColumbiaRFlowMeanDecToFeb,ColumbiaRFlowMeanMarToMay,ColumbiaRFlowMeanJunToAug,ColumbiaRTempMeanMarToMay,ColumbiaRTempMeanJunToAug,CoastUpIdxMeanDecToFeb,CoastUpIdxMeanMarToMay,CoastUpIdxMeanJunToAug,CoastUpIdxMeanSepToNov,NPacGyreOscMeanDecToFeb,NPacGyreOscMeanMarToMay,NPacGyreOscMeanJunToAug,NPacGyreOscMeanSepToNov,OcNinoIdxMeanDecToFeb,OcNinoIdxMeanMarToMay,OcNinoIdxMeanJunToAug,OcNinoIdxMeanSepToNov,WashTranspMeanDecToFeb,WashTranspMeanMarToMay,WashTranspMeanJunToAug,WashTranspMeanSepToNov,PDOMeanDecToFeb,PDOMeanMarToMay,PDOMeanJunToAug,PDOMeanSepToNov,MEIv2MeanDecToFeb,MEIv2MeanMarToMay,MEIv2MeanJunToAug,MEIv2MeanSepToNov,Pacea_ALPI_Anomaly,Pacea_NPI_Value,Pacea_NPI_Anomaly
1900,0.6166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.536666666666667,0.58,-0.15,NA,NA,NA,NA,1.3,1005.62,-3.28
1901,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.18,-0.616666666666667,-0.256666666666667,NA,NA,NA,NA,-1.69,1010,1.1
1902,0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753333333333333,0.98,1.22333333333333,0.433333333333333,NA,NA,NA,NA,0.03,1009.48,0.58
1903,-0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,-0.0966666666666667,0.546666666666667,0.00666666666666667,NA,NA,NA,NA,-4.93,1013.51,4.61
1904,-0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103333333333333,-0.333333333333333,-1.25,0.646666666666667,NA,NA,NA,NA,-3.83,1013.11,4.21
1905,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566666666666667,0.943333333333333,0.933333333333333,0.31,NA,NA,NA,NA,-1.04,1008.48,-0.42
1906,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,0.67,0.266666666666667,0.486666666666667,NA,NA,NA,NA,-2.79,1010.29,1.39
1907,0.06799999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.386666666666667,-0.0633333333333333,0.08,0.423333333333333,NA,NA,NA,NA,-5.46,1014.14,5.24
1908,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03333333333333,0.376666666666667,-0.01,-0.0333333333333333,NA,NA,NA,NA,-1.7,1011.82,2.92
1909,0.6819999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.13,-0.57,-0.436666666666667,NA,NA,NA,NA,-2.44,1010.6,1.7
1910,-0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32,-0.0833333333333333,-0.103333333333333,-0.08,NA,NA,NA,NA,-2.55,1011.88,2.98
1911,-0.20600000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,-0.446666666666667,0.31,-0.123333333333333,NA,NA,NA,NA,-3.22,1012.78,3.88
1912,-0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.646666666666667,-0.146666666666667,0.333333333333333,0.746666666666667,NA,NA,NA,NA,-0.08,1009.43,0.53
1913,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,-0.0666666666666667,1.26,0.7,NA,NA,NA,NA,-1.19,1009.41,0.51
1914,0.35600000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316666666666667,0.463333333333333,0.00333333333333334,-0.14,NA,NA,NA,NA,0.7,1009.07,0.17
1915,-0.114,12.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206666666666667,0.166666666666667,0.776666666666667,-0.2,NA,NA,NA,NA,-1.38,1010.46,1.56
1916,-0.178,10.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22,0.22,-0.776666666666667,-0.556666666666667,NA,NA,NA,NA,-3.62,1012.84,3.94
1917,-0.992,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19,-0.0766666666666667,-0.05,-0.83,NA,NA,NA,NA,-2.49,1012.16,3.26
1918,-0.776,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.796666666666667,-0.6,0.246666666666667,0.12,NA,NA,NA,NA,-0.79,1010.3,1.4
1919,0.188,11.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.366666666666667,-0.0833333333333333,-0.266666666666667,-0.386666666666667,NA,NA,NA,NA,0.26,1008.56,-0.34
1920,-0.388,11.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12,-1.01333333333333,-1.47,-0.866666666666667,NA,NA,NA,NA,-3.63,1011.98,3.08
1921,-0.25,12.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.326666666666667,-0.453333333333333,-0.29,0.303333333333333,NA,NA,NA,NA,-0.93,1009.82,0.92
1922,0.724,11.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.106666666666667,-0.93,-0.19,NA,NA,NA,NA,-3,1011.01,2.11
1923,0.216,12.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396666666666667,0.426666666666667,0.893333333333333,0.493333333333333,NA,NA,NA,NA,-1.9,1010.86,1.96
1924,0.6819999999999999,11.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553333333333333,0.49,-0.156666666666667,-0.496666666666667,NA,NA,NA,NA,0.59,1008.44,-0.46
1925,0.072,13.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0266666666666667,0.616666666666667,-0.666666666666667,0.48,NA,NA,NA,NA,-0.6,1008.33,-0.57
