Year,Oct,Nov,Dec,Jan,Feb,Mar,May,Jun,Jul,Aug,Sep,n,PDOMeanOctToMar,PDOSumOctToMar,PDOMinOctToMar,PDOMaxOctToMar,PDORangeOctToMar,PDOMeanNovToMar,PDOSumNovToMar,PDOMinNovToMar,PDOMaxNovToMar,PDORangeNovToMar,PDOMeanDecToMar,PDOSumDecToMar,PDOMinDecToMar,PDOMaxDecToMar,PDORangeDecToMar,PDOMeanMayToSep,PDOSumMayToSep,PDOMinMayToSep,PDOMaxMayToSep,PDORangeMayToSep,NumPosAnomOctToMar,NumLgPosAnomOctToMar,NumNegAnomOctToMar,NumLgNegAnomOctToMar
1901,0.23,-0.44,1.19,0.79,-0.12,0.35,-0.42,-0.05,-0.6,-1.2,-0.33,6,0.333,2,-0.44,1.19,1.63,0.354,1.77,-0.44,1.19,1.63,0.552,2.21,-0.12,1.19,1.31,-0.52,-2.6,-1.2,-0.05,1.15,4,2,2,0
1902,0.16,-0.6,-0.14,0.82,1.58,0.48,1.09,0.52,1.58,1.57,0.44,6,0.383,2.3,-0.6,1.58,2.18,0.428,2.14,-0.6,1.58,2.18,0.685,2.74,-0.14,1.58,1.7200000000000002,1.04,5.2,0.44,1.58,1.1400000000000001,4,2,2,0
1903,0.7,0.16,-1.1,0.86,-0.24,-0.22,0.43,0.23,0.4,1.01,-0.24,6,0.027,0.16,-1.1,0.86,1.96,-0.108,-0.54,-1.1,0.86,1.96,-0.175,-0.7,-1.1,0.86,1.96,0.366,1.83,-0.24,1.01,1.25,3,1,3,1
1904,0.18,0.08,-0.03,0.63,-0.91,-0.71,-0.22,-1.53,-1.58,-0.64,0.06,6,-0.127,-0.76,-0.91,0.63,1.54,-0.188,-0.94,-0.91,0.63,1.54,-0.255,-1.02,-0.91,0.63,1.54,-0.782,-3.91,-1.58,0.06,1.6400000000000001,3,0,3,2
1905,0.43,1.45,0.06,0.73,0.91,1.31,-0.07,0.69,0.85,1.26,-0.03,6,0.815,4.89,0.06,1.45,1.39,0.892,4.46,0.06,1.45,1.39,0.753,3.01,0.06,1.31,1.25,0.54,2.7,-0.07,1.26,1.33,6,4,0,0
1906,-0.15,1.11,-0.5,0.92,1.18,0.83,0.44,1.24,0.09,-0.53,-0.31,6,0.565,3.39,-0.5,1.18,1.68,0.708,3.54,-0.5,1.18,1.68,0.607,2.43,-0.5,1.18,1.68,0.186,0.93,-0.53,1.24,1.77,4,4,2,0
1907,0.08,1.69,-0.54,-0.3,-0.32,-0.19,0.16,0.57,0.63,-0.96,-0.23,6,0.07,0.42,-0.54,1.69,2.23,0.068,0.34,-0.54,1.69,2.23,-0.338,-1.35,-0.54,-0.19,0.35000000000000003,0.034,0.17,-0.96,0.63,1.5899999999999999,2,1,4,0
1908,0.84,0.66,0.72,1.36,1.02,0.67,0.23,0.41,0.6,-1.04,-0.16,6,0.878,5.27,0.66,1.36,0.7000000000000001,0.886,4.43,0.66,1.36,0.7000000000000001,0.943,3.77,0.67,1.36,0.6900000000000001,0.008,0.04,-1.04,0.6,1.6400000000000001,6,4,0,0
1909,-0.41,0.47,1.16,0.23,1.01,0.54,-0.39,-0.64,-0.39,-0.68,-0.89,6,0.5,3,-0.41,1.16,1.5699999999999998,0.682,3.41,0.23,1.16,0.9299999999999999,0.735,2.94,0.23,1.16,0.9299999999999999,-0.598,-2.99,-0.89,-0.39,0.5,5,2,1,0
1910,-0.02,-0.4,-0.01,-0.25,-0.7,0.18,-0.06,-0.28,0.03,-0.06,0.4,6,-0.2,-1.2,-0.7,0.18,0.8799999999999999,-0.236,-1.18,-0.7,0.18,0.8799999999999999,-0.195,-0.78,-0.7,0.18,0.8799999999999999,0.006,0.03,-0.28,0.4,0.68,1,0,5,0
1911,-0.66,0.02,0.84,-1.11,0,-0.78,0.17,0.02,0.48,0.43,0.29,6,-0.282,-1.69,-1.11,0.84,1.9500000000000002,-0.206,-1.03,-1.11,0.84,1.9500000000000002,-0.263,-1.05,-1.11,0.84,1.9500000000000002,0.278,1.39,0.02,0.48,0.45999999999999996,2,1,3,2
1912,0.2,-0.86,0.01,-1.72,-0.23,-0.04,-0.02,0.77,1.07,-0.84,0.94,6,-0.44,-2.64,-1.72,0.2,1.92,-0.568,-2.84,-1.72,0.01,1.73,-0.495,-1.98,-1.72,0.01,1.73,0.384,1.92,-0.84,1.07,1.9100000000000001,2,0,4,2
1913,0.56,0.74,0.98,-0.03,0.34,0.06,0.66,1.43,1.06,1.29,0.73,6,0.442,2.65,-0.03,0.98,1.01,0.418,2.09,-0.03,0.98,1.01,0.338,1.35,-0.03,0.98,1.01,1.034,5.17,0.66,1.43,0.7699999999999999,5,2,1,0
1914,0.62,0.75,0.9,0.34,-0.29,0.08,0.11,0.11,-0.21,0.11,-0.34,6,0.4,2.4,-0.29,0.9,1.19,0.356,1.78,-0.29,0.9,1.19,0.258,1.03,-0.29,0.9,1.19,-0.044,-0.22,-0.34,0.11,0.45,5,2,1,0
1915,-0.11,0.03,0.89,-0.41,0.14,-1.22,0.32,0.99,1.07,0.27,-0.05,6,-0.113,-0.68,-1.22,0.89,2.11,-0.114,-0.57,-1.22,0.89,2.11,-0.15,-0.6,-1.22,0.89,2.11,0.52,2.6,-0.05,1.07,1.12,3,1,3,1
1916,-0.43,-0.12,0.17,-0.64,-0.19,-0.11,0.42,-0.82,-0.78,-0.73,-0.77,6,-0.22,-1.32,-0.64,0.17,0.81,-0.178,-0.89,-0.64,0.17,0.81,-0.192,-0.77,-0.64,0.17,0.81,-0.536,-2.68,-0.82,0.42,1.24,1,0,5,0
1917,-0.22,-0.68,-1.94,-0.79,-0.84,-0.71,0.82,-0.03,0.1,-0.22,-0.4,6,-0.863,-5.18,-1.94,-0.22,1.72,-0.992,-4.96,-1.94,-0.68,1.2599999999999998,-1.07,-4.28,-1.94,-0.71,1.23,0.054,0.27,-0.4,0.82,1.22,0,0,6,4
1918,-1.75,-0.34,-0.6,-1.13,-0.66,-1.15,-0.33,0.07,0.98,-0.31,-0.59,6,-0.938,-5.63,-1.75,-0.34,1.41,-0.776,-3.88,-1.15,-0.34,0.8099999999999998,-0.885,-3.54,-1.15,-0.6,0.5499999999999999,-0.036,-0.18,-0.59,0.98,1.5699999999999998,0,0,6,3
